"device_id","fold"
"-1000369272589010951",2
"-1000572055892391496",2
"-1000643208750517791",1
"-1001337759327042486",3
"-1001949518704267063",5
"-1002079624347534227",3
"-1002595372059179606",1
"-1002733576670974332",2
"-1002969456091702673",3
"-1003040252653187383",5
"-1004340479133163587",1
"-1004665990003063053",5
"-1004900862756909520",3
"-1005411102947247412",1
"-1006117296310180539",5
"-1006244095847674899",2
"-1006357788560227421",5
"-1006562022942738675",2
"-1006944931823856367",1
"-1007249684892521754",3
"-1007720066489438583",1
"-1008024264391409607",4
"-1008055017361339310",5
"-1008056923666884215",1
"-1008484851265061759",5
"-1008485807774291846",1
"-1009019158234128491",1
"-1009806765098772259",5
"-1010220048780328322",5
"-1010331399860272993",1
"-1010359452115832043",3
"-1010368021176859014",1
"-1010684607686279821",3
"-1011089606942873894",2
"-1011098932577010890",4
"-1011114579425797433",3
"-1011467068757552958",4
"-1011580306111145014",2
"-1011711341802477687",4
"-1011736884540728111",1
"-1011916856588028985",2
"-1011984665584752700",1
"-101200266921997166",4
"-1012313136207149407",1
"-1012335228932156852",3
"-1012430198114507471",4
"-1012671576316844218",4
"-1012777058695705167",3
"-1012891494460290453",3
"-101308859432825314",2
"-1013253755253573567",4
"-1013591676718998989",5
"-1013751500369314776",1
"-1013760887918571746",3
"-1013918020565230379",1
"-1014141688809369098",4
"-1014229247014640273",5
"-1014407508714479184",3
"-1014464197764056635",2
"-1014479266617230672",1
"-1014599235541061307",5
"-1014881872133437847",5
"-1015102725291817415",3
"-1015331499447520949",2
"-1015664153210969813",3
"-1016083932223297307",2
"-1016254760300299598",4
"-1016876635333702458",1
"-1017305165389061091",5
"-1017434829374175520",4
"-1017630908544922636",1
"-1017747728250438804",2
"-1018017630957045174",2
"-1018225802921157222",1
"-1018388775982627877",5
"-1018670248879077856",1
"-10187913862452483",2
"-101895266167311282",3
"-101922014779527865",3
"-1019434942631648431",5
"-1019559389439207350",3
"-1019791504164181342",2
"-1019852732840119078",2
"-1019924438708371117",2
"-1020024146557862632",5
"-1020068765377138548",1
"-1020337675869720749",2
"-1020585348368777012",1
"-1020898014935845662",5
"-1021073753429555564",4
"-1021239426529286370",2
"-1021613832219453270",5
"-1021642161927895031",1
"-1021971092116848274",5
"-1022014755491531067",5
"-1022601219248387384",3
"-1022797461996925371",5
"-1022946958127183615",4
"-1023478099262642464",1
"-1023493190764802408",5
"-1023592091408366060",4
"-1023616646614242537",3
"-1023828320908553686",1
"-1024726968325317803",4
"-1024895910045710031",2
"-1024990106775948418",1
"-1025089702592206381",2
"-1025284795963440768",4
"-1025301595256043113",2
"-1025350552353411461",2
"-1025378881416505605",4
"-102538724648451800",5
"-1025466934738207744",3
"-1025590636524614616",5
"-1025657538905478996",1
"-1026116868392555691",2
"-1026185982497028102",1
"-1026187679331352252",5
"-1026358766827964909",4
"-1026541905546421843",1
"-1026626288472674749",5
"-1026882522550808490",1
"-1027159926484899825",2
"-1027412422945843257",1
"-1027513137524028354",5
"-1027840677267774658",5
"-1027891121409380403",5
"-1027971472129298880",1
"-1028195885101157130",3
"-102839831591175815",2
"-1028464844487249707",3
"-1028521793266966684",4
"-1028819386619259259",2
"-1028867277336910518",1
"-1029598875124276947",1
"-1029625144954893824",1
"-1029675397479643341",4
"-1029770111291105307",3
"-1029876967427078785",5
"-1030061935764942114",4
"-1030141497592391177",3
"-1030254596558002360",3
"-103044241519124993",3
"-1030474350490730450",4
"-1030583731730367805",2
"-1030608089187780746",3
"-1031184931235707439",2
"-1031387189359786301",1
"-1031895616582707219",5
"-1032314008070376821",1
"-1032421229388084233",3
"-1032555705119615296",5
"-1032680576392590699",5
"-1032801107617187051",4
"-103306552123842168",1
"-103326414681001118",2
"-1033627923089764235",3
"-1033997838307312753",4
"-1034171529079791984",1
"-1034241045812767956",5
"-1034442578068177113",2
"-103454141050554453",4
"-1034839274199230234",4
"-103497747004721693",4
"-1035063437604894394",1
"-1035278791990108312",2
"-1035399994189693297",2
"-1035501578312546285",2
"-103574383339946761",1
"-1035797211578677868",5
"-1035837189660847796",1
"-103602719605062034",1
"-1036210527765031288",2
"-1036283472579125358",2
"-1036401361327911227",1
"-103678677515821649",3
"-1037012685448076071",2
"-1037099004175863776",5
"-1037302537420249722",2
"-1037804806546812677",2
"-1037867852911285776",4
"-103800323727376665",1
"-1038386069389938239",4
"-103847137954159402",3
"-103879532482507458",3
"-1038842078162349205",4
"-103884814478220103",5
"-1039150114861416724",2
"-103941522408189581",5
"-1039429398566709172",2
"-1039664921157964123",4
"-1039701474753771322",4
"-1039866256575456089",1
"-1040034355316778947",5
"-1040158785804874467",3
"-1040275366566081463",5
"-1040485782142410910",2
"-1040807199903144133",5
"-1040897625788500880",3
"-1041059467808501717",1
"-1041260282292712018",3
"-1041351269739821368",1
"-1041459551016443328",3
"-1041861694530251484",3
"-1041898885245702735",1
"-1042579946475683548",3
"-1042597284980139967",5
"-1043582137859594915",3
"-1043842736294932413",4
"-1044291912792575482",5
"-1044480648432960498",2
"-1045105823106022933",3
"-1045127484619006476",3
"-1045232734390420748",4
"-1045655858343636006",5
"-1046120043783356755",3
"-1046366347946827585",5
"-1046407582408507666",5
"-1046886646959301614",2
"-1046954973482067125",5
"-1047213733085437401",5
"-1047221018833289280",5
"-1047613291607449053",5
"-1048643325961299016",3
"-1049185531812587758",3
"-104949823321763638",3
"-1049577176976556245",2
"-1049771485724654213",1
"-1050137778316627333",4
"-1050302093212247479",3
"-1050595769055325632",2
"-1050596909668983230",2
"-1050608789134541351",4
"-1050724809665469914",3
"-1050855730891246367",5
"-1050964183209202833",2
"-1051075383831804430",3
"-1051106908827668701",2
"-105128591231925263",4
"-1051292504668276177",5
"-1051392316103767197",4
"-1051438901055592350",1
"-1051884239595163608",3
"-105217653072135528",5
"-1052193881838249659",2
"-1052456104729844223",1
"-1052578476079796184",1
"-1052700146655758096",2
"-1052998058357646770",1
"-105347083001453625",5
"-105361807243841903",2
"-1053657946037918624",5
"-1054184965287809379",5
"-1055118365658933009",2
"-1055417255755787861",5
"-1055470524148429320",3
"-1055602516328261149",1
"-105566952913534697",3
"-1055765928777351182",2
"-1056379824269904745",2
"-1057085263429792443",3
"-1057227364195230528",2
"-1057242939406825981",4
"-1057282883626615799",3
"-1057803575924288887",3
"-1057823410904500635",5
"-1057876480035344841",4
"-1058266770444320095",4
"-1058414138424410153",1
"-1058441555929779561",3
"-1058471326753938008",1
"-1058660617242616525",5
"-1058976689976607809",4
"-1058995259484012812",4
"-1059157191692243895",2
"-1059771754439188701",4
"-1059933011524840053",4
"-106027850140761635",1
"-1060703050255967208",1
"-1060763525576314564",3
"-1061142392380456047",2
"-1061166489491934502",3
"-1061393713502828165",2
"-1061917870919249539",2
"-1061951001816845237",1
"-1062014717054633040",3
"-1062033733070695791",4
"-1062396545230713273",1
"-1063080620859047788",2
"-1063146205358691553",2
"-1063722001324637077",1
"-1064152471099925047",1
"-1064242936029480405",5
"-1064408891110043597",5
"-1064835513480204027",2
"-1065039262853166030",5
"-1065262943122905511",2
"-1065553319625941359",4
"-1065800614328067166",1
"-1066319478335196927",4
"-106663820076069277",3
"-1066724332621685301",2
"-1066741227354417443",4
"-1066958434841960402",2
"-1067166745821571534",3
"-1067399236897136885",3
"-1067456915194417170",1
"-1067458577347793821",5
"-1067727210678647079",1
"-1068207801196802108",2
"-1068425135128099278",5
"-1068557244876488088",4
"-106892974077205480",4
"-1068968459906334586",1
"-1069192818456876320",5
"-106991575407047583",2
"-1070081181743286442",5
"-1070726538865241049",5
"-1070726584846897626",2
"-1070972657101413195",5
"-1071054075174682047",1
