"device_id","fold"
"-1000369272589010951",1
"-1000572055892391496",9
"-1000643208750517791",4
"-1001337759327042486",8
"-1001949518704267063",3
"-1002079624347534227",5
"-1002595372059179606",9
"-1002733576670974332",3
"-1002969456091702673",5
"-1003040252653187383",7
"-1004340479133163587",8
"-1004665990003063053",3
"-1004900862756909520",3
"-1005411102947247412",10
"-1006117296310180539",4
"-1006244095847674899",4
"-1006357788560227421",3
"-1006562022942738675",6
"-1006944931823856367",2
"-1007249684892521754",5
"-1007720066489438583",7
"-1008024264391409607",6
"-1008055017361339310",8
"-1008056923666884215",9
"-1008484851265061759",3
"-1008485807774291846",7
"-1009019158234128491",8
"-1009806765098772259",5
"-1010220048780328322",9
"-1010331399860272993",8
"-1010359452115832043",7
"-1010368021176859014",5
"-1010684607686279821",7
"-1011089606942873894",6
"-1011098932577010890",3
"-1011114579425797433",2
"-1011467068757552958",3
"-1011580306111145014",5
"-1011711341802477687",2
"-1011736884540728111",8
"-1011916856588028985",8
"-1011984665584752700",9
"-101200266921997166",9
"-1012313136207149407",1
"-1012335228932156852",7
"-1012430198114507471",6
"-1012671576316844218",7
"-1012777058695705167",5
"-1012891494460290453",10
"-101308859432825314",8
"-1013253755253573567",10
"-1013591676718998989",6
"-1013751500369314776",7
"-1013760887918571746",8
"-1013918020565230379",7
"-1014141688809369098",5
"-1014229247014640273",2
"-1014407508714479184",10
"-1014464197764056635",6
"-1014479266617230672",7
"-1014599235541061307",4
"-1014881872133437847",3
"-1015102725291817415",5
"-1015331499447520949",7
"-1015664153210969813",8
"-1016083932223297307",7
"-1016254760300299598",8
"-1016876635333702458",9
"-1017305165389061091",8
"-1017434829374175520",2
"-1017630908544922636",5
"-1017747728250438804",1
"-1018017630957045174",8
"-1018225802921157222",2
"-1018388775982627877",8
"-1018670248879077856",8
"-10187913862452483",9
"-101895266167311282",2
"-101922014779527865",10
"-1019434942631648431",10
"-1019559389439207350",4
"-1019791504164181342",9
"-1019852732840119078",4
"-1019924438708371117",3
"-1020024146557862632",9
"-1020068765377138548",9
"-1020337675869720749",8
"-1020585348368777012",2
"-1020898014935845662",1
"-1021073753429555564",6
"-1021239426529286370",2
"-1021613832219453270",6
"-1021642161927895031",8
"-1021971092116848274",3
"-1022014755491531067",7
"-1022601219248387384",10
"-1022797461996925371",4
"-1022946958127183615",9
"-1023478099262642464",3
"-1023493190764802408",2
"-1023592091408366060",6
"-1023616646614242537",2
"-1023828320908553686",1
"-1024726968325317803",7
"-1024895910045710031",9
